Assay_Set	Intended_Serotypes	N_Serotypes	Assay_Verdict	Final_Status	Note
1	01	1	SINGLE_TARGET	UNIQUE	
10A/B	10A, 10B	2	RESOLVABLE	RESOLVABLE	Clear sequence differences
10B	10B	1	SINGLE_TARGET	UNIQUE	
10C/F	10C, 10F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 10B; 35F/47F
11A/B/C/ D/F/(E)	11A, 11B, 11C, 11D, 11F	5	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
11A/D	11A, 11D	2	INDISTINGUISHABLE	INDISTINGUISHABLE	Serogroup-level ceiling; no rescue assay
11B/C	11B, 11C	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 10A/B; 11A/B/C/ D/F/
11F	11F	1	SINGLE_TARGET	UNIQUE	
12A/B/F/44/ 46	12A, 12B, 12F, 44, 46	5	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
12B	12B	1	SINGLE_TARGET	UNIQUE	
13	13	1	SINGLE_TARGET	UNIQUE	
14	14	1	SINGLE_TARGET	UNIQUE	
15A/B/C/F	15A, 15B, 15C, 15F	4	RESOLVABLE	RESOLVABLE	Clear sequence differences
15A/F	15A, 15F	2	NEAR-IDENTICAL	NEAR-IDENTICAL	>99% identity; SNP-level calling required
15B/C	15B, 15C	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 14; 15A/B/C/F
16A	16A	1	SINGLE_TARGET	UNIQUE	
16F	16F	1	SINGLE_TARGET	UNIQUE	
17A	17A	1	SINGLE_TARGET	UNIQUE	
17F	17F	1	SINGLE_TARGET	UNIQUE	
18A/B/C/F	18A, 18B, 18C, 18F	4	RESOLVABLE	RESOLVABLE	Clear sequence differences
18B/C/F	18B, 18C, 18F	3	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
18C/F	18C, 18F	2	RESOLVABLE	RESOLVABLE	Clear sequence differences
18F:  16F/18F/28AF	16F, 18F, 28AF	3	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
19A	19A	1	SINGLE_TARGET	UNIQUE	
19B/F	19B, 19F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 19F; 35F/47F
19C	19C	1	SINGLE_TARGET	UNIQUE	
19F	19F	1	SINGLE_TARGET	UNIQUE	
19F Atypical	19F, 19ATYPICAL	2	NO_INTENDED_HIT	NO_INTENDED_HIT	Amplifies 19AF — assay name does not match new DB; needs remapping
2	02	1	SINGLE_TARGET	UNIQUE	
20	20	1	NO_INTENDED_HIT	NO_INTENDED_HIT	Amplifies 20A, 20B, 20C — assay name does not match new DB; needs remapping
21	21	1	SINGLE_TARGET	UNIQUE	
22A/F	22A, 22F	2	RESOLVABLE	RESOLVABLE	Clear sequence differences
22F	22F	1	NO_HIT_IN_SEROBA	NO_HIT	No amplicon in SeroBA or GenBank; target gene likely absent from reference
23A/B/F	23A, 23B, 23F	3	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
23B	23B	1	SINGLE_TARGET	UNIQUE	
23F	23F	1	SINGLE_TARGET	UNIQUE	
24A	24A	1	SINGLE_TARGET	UNIQUE	
24B/F	24B, 24F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
25A/F	25A, 25F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
25A/F/38	25A, 25F, 38	3	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
27	27	1	SINGLE_TARGET	UNIQUE	
28A/F	28A, 28F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
29	29	1	SINGLE_TARGET	UNIQUE	
3	03	1	NO_HIT_IN_SEROBA	CONFIRMED (GenBank)	No hit in SeroBA CPS locus; confirmed via GenBank: serotype_3.gb
31	31	1	SINGLE_TARGET	UNIQUE	
32A/F	32A, 32F	2	INDISTINGUISHABLE	INDISTINGUISHABLE	Serogroup-level ceiling; no rescue assay
33A/F/37	33A, 33F, 37	3	INDISTINGUISHABLE	INDISTINGUISHABLE	Serogroup-level ceiling; no rescue assay
33B/C	33B, 33C	2	RESOLVABLE	RESOLVABLE	Clear sequence differences
33C	33C	1	SINGLE_TARGET	UNIQUE	
33D	33D	1	SINGLE_TARGET	UNIQUE	
34	34	1	SINGLE_TARGET	UNIQUE	
34/37/17A	34, 37, 17A	3	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
35A/C/42	35A, 35C, 42	3	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
35B	35B	1	SINGLE_TARGET	UNIQUE	
35F/47F	35F, 47F	2	RESOLVABLE	RESOLVABLE	Clear sequence differences
36	36	1	NO_INTENDED_HIT	NO_INTENDED_HIT	Amplifies 36A, 36B — assay name does not match new DB; needs remapping
39	39	1	SINGLE_TARGET	UNIQUE	
4	04	1	SINGLE_TARGET	UNIQUE	
41A	41A	1	SINGLE_TARGET	UNIQUE	
41F	41F	1	SINGLE_TARGET	UNIQUE	
43	43	1	SINGLE_TARGET	UNIQUE	
45	45	1	SINGLE_TARGET	UNIQUE	
46	46	1	SINGLE_TARGET	UNIQUE	
47A/F	47A, 47F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
48	48	1	SINGLE_TARGET	UNIQUE	
5	05	1	SINGLE_TARGET	UNIQUE	
6A/B/C/D (F/G/H)	06A, 06B, 06C, 06D	4	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
6A/C	06A, 06C	2	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
6C/D	06C, 06D	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F; 6A/B/C/D; 6A/C
7A/F	07A, 07F	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
7B/C/40	07B, 07C, 40	3	NEAR-IDENTICAL	NEAR-IDENTICAL	>99% identity; SNP-level calling required
8	08	1	SINGLE_TARGET	UNIQUE	
9A/L/N/V	09A, 09L, 09N, 09V	4	LIKELY_RESOLVABLE	LIKELY_RESOLVABLE	SNPs present; needs good read depth
9A/V	09A, 09V	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
9L/N	09L, 09N	2	INDISTINGUISHABLE	RESCUED (combinatorial)	Rescued by: 35F/47F
